,Word,Frequency
0,chicken,9342
1,pcs,3784
2,veg,3658
3,cheese,2314
4,paneer,2297
5,pizza,2061
6,chocolate,1916
7,cream,1716
8,rice,1649
9,cake,1500
10,sandwich,1467
11,special,1458
12,ice,1398
13,chilli,1318
14,masala,1308
15,biryani,1293
16,kebab,1187
17,fried,1134
18,gms,1092
19,burger,1073
20,tikka,1038
21,mutton,1032
22,shake,954
23,roll,927
24,fish,906
25,garlic,887
26,butter,860
27,dry,811
28,pc,807
29,corn,802
30,egg,761
31,pasta,756
32,grilled,754
33,salad,749
34,paratha,696
35,dosa,681
36,fry,679
37,combo,678
38,aloo,643
39,ml,639
40,sauce,639
41,tandoori,632
42,noodles,615
43,choco,586
44,curry,575
45,murgh,573
46,fruit,564
47,red,554
48,crispy,539
49,mixed,526
50,brownie,504
51,pav,502
52,bread,500
53,strawberry,493
54,soup,489
55,regular,488
56,pastry,478
57,fries,475
58,hot,468
59,milkshake,460
60,prawns,460
61,spicy,457
62,meal,457
63,vada,457
64,boneless,452
65,dal,441
66,pepper,434
67,schezwan,429
68,thali,428
69,mushroom,422
70,kg,416
71,idli,399
72,vegetable,378
73,gravy,373
74,mango,366
75,black,365
76,classic,358
77,waffle,357
78,coffee,354
79,pulao,351
80,malai,350
81,juice,336
82,momos,330
83,wrap,328
84,kaju,324
85,veggie,316
86,dum,316
87,green,313
88,oreo,309
89,peri,308
90,plain,307
91,manchurian,306
92,thai,304
93,bowl,298
94,shawarma,295
95,tawa,287
96,kulfi,287
97,sundae,286
98,velvet,283
99,keema,280
100,lemon,278
101,mexican,273
102,eggless,271
103,double,267
104,white,257
105,toast,256
106,pack,255
107,caramel,255
108,onion,249
109,sweet,247
110,box,246
111,penne,246
112,bbq,245
113,bhaji,245
114,platter,244
115,tomato,243
116,mini,243
117,vanilla,242
118,banana,241
119,omelette,241
120,pan,240
121,fresh,237
122,roti,236
123,half,234
124,samosa,234
125,nutella,233
126,chole,231
127,forest,226
128,tea,224
129,cheesy,221
130,pineapple,216
131,per,215
132,wings,214
133,style,214
134,blueberry,211
135,potato,210
136,baby,209
137,medium,208
138,steamed,205
139,butterscotch,204
140,dahi,202
141,lollipop,201
142,almond,198
143,cold,197
144,dark,196
145,delight,192
146,seekh,191
147,lassi,187
148,non,187
149,roasted,186
150,small,186
151,thick,186
152,french,183
153,roast,183
154,nachos,182
155,honey,180
156,spinach,177
157,indian,175
158,chaat,174
159,kesar,174
160,chips,173
161,puff,172
162,stuffed,171
163,hakka,171
164,american,170
165,slice,170
166,scoop,169
167,fudge,169
168,punjabi,165
169,plate,164
170,momo,163
171,full,162
172,chinese,161
173,maggi,161
174,chow,160
175,truffle,160
176,pork,159
177,apple,158
178,puri,157
179,naan,155
180,smoothie,153
181,cheesecake,153
182,kodi,153
183,badam,152
184,pista,152
185,ghee,151
186,berry,151
187,kadai,150
188,cookies,150
189,basil,149
190,kachori,148
191,club,148
192,lamb,148
193,makhani,147
194,sambar,146
195,handi,146
196,milk,144
197,baked,144
198,supreme,143
199,pesto,143
200,ka,142
201,spring,141
202,jamun,140
203,ginger,139
204,mint,136
205,sabji,133
206,palak,132
207,poori,131
208,cookie,131
209,mousse,131
210,large,130
211,cottage,128
212,cupcake,127
213,jumbo,127
214,coconut,126
215,single,126
216,chip,125
217,orange,125
218,serves,124
219,tangdi,124
220,belgian,122
221,ferrero,121
222,mayo,121
223,triple,120
224,steak,120
225,nuggets,119
226,crunchy,119
227,italian,119
228,stick,119
229,sub,119
230,pie,118
231,prawn,118
232,tikki,117
233,iced,117
234,uttapam,117
235,choice,117
236,gulab,116
237,walnut,115
238,bun,114
239,chai,114
240,reshmi,114
241,hazelnut,114
242,assorted,113
243,watermelon,112
244,khichdi,112
245,bone,112
246,falafel,111
247,brown,110
248,pancake,110
249,methi,110
250,cup,110
251,chop,109
252,cutlet,109
253,beef,109
254,big,108
255,hummus,108
256,hyderabadi,107
257,paan,106
258,mojito,105
259,cm,105
260,spaghetti,104
261,gosht,104
262,rose,104
263,kulcha,103
264,pakora,103
265,popcorn,103
266,blue,103
267,kofta,102
268,vegetables,102
269,jar,102
270,balls,101
